epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2891.53,1.14677,0.7747,1.09664,0.74498,0.65188,0.71973,0.41401,1.54797,1.14366,1.38344,0.000445756,0.000445756,0.000445756
76,2921.25,1.13214,0.76828,1.10028,0.75211,0.65873,0.72041,0.41632,1.55005,1.13998,1.38042,0.000429253,0.000429253,0.000429253
77,2951.55,1.12219,0.76541,1.09309,0.73775,0.65806,0.71456,0.41328,1.55227,1.15045,1.38717,0.000412749,0.000412749,0.000412749
78,2981.32,1.11908,0.75233,1.09186,0.74103,0.66222,0.7199,0.41851,1.55936,1.14192,1.397,0.000396246,0.000396246,0.000396246
79,3011.16,1.14527,0.7763,1.10943,0.75949,0.65152,0.72014,0.41694,1.55697,1.14835,1.39133,0.000379743,0.000379743,0.000379743
80,3041.09,1.133,0.76698,1.10082,0.74692,0.66254,0.72386,0.41948,1.54848,1.1321,1.38252,0.000363239,0.000363239,0.000363239
81,3071.82,1.1287,0.7546,1.09142,0.75361,0.65798,0.72273,0.41733,1.55525,1.1357,1.39377,0.000346736,0.000346736,0.000346736
82,3102.33,1.10957,0.75099,1.08624,0.74097,0.66626,0.72053,0.42028,1.54779,1.13931,1.38846,0.000330233,0.000330233,0.000330233
83,3131.76,1.10467,0.72462,1.08052,0.74195,0.65923,0.72058,0.41738,1.55365,1.1366,1.39547,0.000313729,0.000313729,0.000313729
84,3162.49,1.11067,0.72874,1.083,0.73867,0.66414,0.71814,0.41763,1.55496,1.14426,1.39932,0.000297226,0.000297226,0.000297226
85,3192.7,1.10845,0.72458,1.07593,0.73391,0.66445,0.72023,0.41875,1.56588,1.14644,1.40688,0.000280723,0.000280723,0.000280723
86,3223.41,1.08572,0.70104,1.07121,0.74051,0.65755,0.71636,0.41571,1.56472,1.14466,1.40676,0.00026422,0.00026422,0.00026422
