epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4802.82,1.26804,0.9348,1.16122,0.76019,0.63544,0.71736,0.40726,1.51955,1.17187,1.33724,0.000693305,0.000693305,0.000693305
61,4862.9,1.28368,0.95421,1.1688,0.74082,0.65198,0.72055,0.41023,1.51841,1.16793,1.33925,0.000676802,0.000676802,0.000676802
62,4923.28,1.28773,0.94924,1.16791,0.73877,0.64494,0.7165,0.40862,1.52507,1.17617,1.34411,0.000660299,0.000660299,0.000660299
63,4983.39,1.28704,0.94031,1.17511,0.7492,0.64794,0.72563,0.41315,1.5266,1.15876,1.34229,0.000643795,0.000643795,0.000643795
64,5043.22,1.27598,0.9374,1.17273,0.7499,0.63986,0.71963,0.40888,1.53511,1.1632,1.34881,0.000627292,0.000627292,0.000627292
65,5103.27,1.27697,0.93776,1.1698,0.75525,0.64012,0.72062,0.41303,1.52509,1.16681,1.35016,0.000610789,0.000610789,0.000610789
66,5162.41,1.27342,0.93006,1.16108,0.75046,0.64713,0.72277,0.41183,1.52416,1.161,1.33971,0.000594286,0.000594286,0.000594286
67,5222.14,1.25829,0.91736,1.15516,0.76119,0.63897,0.72026,0.41041,1.53221,1.16689,1.34894,0.000577782,0.000577782,0.000577782
68,5280.29,1.26281,0.90588,1.15124,0.75559,0.64393,0.72261,0.41372,1.52001,1.16192,1.34023,0.000561279,0.000561279,0.000561279
69,5337.94,1.24694,0.90142,1.14793,0.75905,0.64048,0.71821,0.40913,1.53103,1.17554,1.34404,0.000544776,0.000544776,0.000544776
70,5396.93,1.24588,0.91482,1.1493,0.75286,0.63955,0.71865,0.41242,1.53159,1.16936,1.35761,0.000528272,0.000528272,0.000528272
71,5457.1,1.24792,0.90247,1.15463,0.75142,0.64502,0.71889,0.41266,1.52307,1.17643,1.34996,0.000511769,0.000511769,0.000511769
72,5517.58,1.25617,0.89691,1.14794,0.76642,0.64345,0.72343,0.41254,1.5353,1.16626,1.355,0.000495266,0.000495266,0.000495266
73,5577.7,1.26106,0.89474,1.14496,0.7559,0.64422,0.72148,0.41244,1.53011,1.16362,1.34281,0.000478762,0.000478762,0.000478762
74,5638.47,1.23967,0.88045,1.14473,0.76183,0.65074,0.72168,0.41389,1.52526,1.16963,1.3504,0.000462259,0.000462259,0.000462259
75,5698.05,1.23788,0.87804,1.1355,0.76227,0.64546,0.72251,0.41314,1.52769,1.16165,1.35251,0.000445756,0.000445756,0.000445756
76,5758.1,1.22459,0.87684,1.14328,0.75144,0.65245,0.71997,0.40938,1.53588,1.16708,1.35025,0.000429253,0.000429253,0.000429253
77,5818.16,1.22133,0.87649,1.13547,0.75599,0.64461,0.71837,0.41306,1.52799,1.16914,1.35203,0.000412749,0.000412749,0.000412749
78,5878.79,1.21494,0.85658,1.13285,0.74504,0.65436,0.72223,0.413,1.54076,1.15824,1.35646,0.000396246,0.000396246,0.000396246
79,5938.77,1.23918,0.8873,1.15049,0.75715,0.647,0.72004,0.41319,1.53566,1.16214,1.35187,0.000379743,0.000379743,0.000379743
80,5999.03,1.23374,0.87424,1.14452,0.7605,0.65098,0.72467,0.41535,1.53196,1.1587,1.35346,0.000363239,0.000363239,0.000363239
81,6058.43,1.22561,0.86646,1.13376,0.74841,0.66031,0.72436,0.41575,1.53316,1.15108,1.3566,0.000346736,0.000346736,0.000346736
82,6118.41,1.21566,0.87243,1.13323,0.74585,0.65671,0.71963,0.41175,1.53816,1.1575,1.3582,0.000330233,0.000330233,0.000330233
